                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0093,                0.54986,                 1.0822,                 0.9512,                0.91314,                0.94106,                0.78083,                0.86416,                0.42937,                0.98984,              0.0033333,              0.0033333,              0.0033333
                      2,                 1.0398,                0.57885,                 1.0952,                0.95672,                0.90861,                 0.9411,                0.77894,                0.85846,                0.42553,                0.98169,              0.0064026,              0.0064026,              0.0064026
                      3,                 1.1142,                0.66002,                 1.1344,                0.94445,                0.90783,                0.93635,                0.77409,                0.85398,                0.43352,                0.97465,               0.009208,               0.009208,               0.009208
                      4,                 1.1768,                0.72161,                 1.1731,                0.94185,                0.90473,                0.93287,                0.77205,                0.85178,                0.44866,                0.97463,               0.008812,               0.008812,               0.008812
                      5,                 1.1772,                0.71394,                 1.1672,                0.93613,                0.90413,                0.93044,                 0.7724,                 0.8494,                0.45452,                0.97284,               0.008812,               0.008812,               0.008812
                      6,                 1.1628,                0.69354,                  1.163,                0.93924,                0.90177,                0.93096,                0.77241,                0.84952,                0.45673,                0.97408,               0.008416,               0.008416,               0.008416
                      7,                 1.1489,                0.67735,                 1.1517,                0.93962,                0.90193,                0.93078,                0.77315,                0.84833,                0.45512,                0.97329,                0.00802,                0.00802,                0.00802
                      8,                  1.137,                0.66339,                 1.1403,                0.94024,                0.90251,                0.93198,                 0.7732,                0.84824,                0.45148,                 0.9718,               0.007624,               0.007624,               0.007624
                      9,                 1.1223,                0.65178,                 1.1357,                0.94126,                0.90311,                 0.9327,                0.77357,                0.84815,                0.45088,                0.97124,               0.007228,               0.007228,               0.007228
                     10,                 1.1125,                0.63608,                 1.1337,                 0.9428,                0.90288,                0.93331,                0.77423,                0.84839,                0.44918,                0.97204,               0.006832,               0.006832,               0.006832
                     11,                 1.1014,                 0.6258,                 1.1223,                0.94478,                0.90234,                0.93386,                0.77482,                0.84962,                0.45174,                0.97214,               0.006436,               0.006436,               0.006436
                     12,                 1.0894,                0.61856,                 1.1156,                0.94419,                0.90377,                0.93477,                0.77544,                0.85046,                0.45156,                0.97199,                0.00604,                0.00604,                0.00604
<<<<<<< HEAD
                     13,                 1.0767,                0.60321,                 1.1101,                0.94606,                0.90496,                0.93598,                0.77527,                0.85101,                0.44916,                0.97145,               0.005644,               0.005644,               0.005644
                     14,                 1.0691,                0.59732,                 1.1026,                0.94709,                0.90547,                0.93684,                0.77574,                0.85133,                0.44485,                0.97105,               0.005248,               0.005248,               0.005248
                     15,                 1.0557,                0.58297,                 1.0945,                0.94975,                 0.9056,                0.93778,                0.77635,                0.85172,                0.43989,                0.97064,               0.004852,               0.004852,               0.004852
                     16,                0.96675,                0.56681,                 1.0236,                0.95009,                0.90678,                 0.9384,                0.77762,                0.85082,                0.43731,                0.96904,               0.004456,               0.004456,               0.004456
                     17,                0.94905,                0.54384,                 1.0183,                0.95085,                 0.9062,                0.93861,                0.77898,                0.84896,                0.43529,                0.96776,                0.00406,                0.00406,                0.00406
                     18,                0.93134,                0.52688,                 1.0095,                0.95192,                0.90643,                0.93907,                0.77985,                0.84799,                0.43347,                 0.9671,               0.003664,               0.003664,               0.003664
                     19,                0.91688,                0.51055,                 1.0008,                0.95144,                0.90605,                0.93918,                0.78034,                0.84763,                0.43195,                0.96653,               0.003268,               0.003268,               0.003268
                     20,                0.89974,                0.49629,                0.99425,                0.95286,                0.90552,                0.93976,                0.78137,                0.84706,                0.43096,                0.96644,               0.002872,               0.002872,               0.002872
                     21,                0.88394,                0.48151,                0.98028,                0.95405,                 0.9049,                0.93985,                0.78197,                0.84705,                0.43043,                0.96556,               0.002476,               0.002476,               0.002476
                     22,                0.86635,                0.46706,                0.97195,                0.95508,                0.90389,                0.93979,                0.78255,                0.84658,                0.43031,                0.96431,                0.00208,                0.00208,                0.00208
                     23,                0.85105,                0.45513,                0.96862,                0.95548,                0.90324,                0.93956,                0.78311,                0.84714,                0.43048,                0.96399,               0.001684,               0.001684,               0.001684
                     24,                0.83273,                0.44113,                0.96079,                0.95502,                0.90374,                0.93962,                0.78384,                0.84729,                0.43164,                0.96378,               0.001288,               0.001288,               0.001288
